Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780190427,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780190428,20,,Aggregated,0.000000,0.000000,170,180,200,200,210,240,240,240,240,240,240,11,0,170,163.71759086508644,83.98190001025796,239.85700006596744,9805.545454545454
1780190429,40,,Aggregated,0.000000,0.000000,210,260,290,300,330,370,400,400,400,400,400,34,0,200,223.84831174413728,83.98190001025796,401.092000072822,9976.64705882353
1780190430,40,,Aggregated,0.000000,0.000000,370,870,970,1100,1100,1200,1200,1300,1300,1300,1300,65,0,370,574.3804815296943,83.98190001025796,1294.469099957496,11005.123076923077
1780190431,40,,Aggregated,7.500000,0.000000,500,620,690,870,1100,1100,1200,1200,1300,1300,1300,113,0,500,554.8785584010349,83.98190001025796,1294.469099957496,10723.097345132743
1780190432,40,,Aggregated,11.333333,0.000000,530,640,690,760,970,1100,1200,1200,1300,1300,1300,173,0,530,566.4928335174272,83.98190001025796,1294.469099957496,10541.739884393064
1780190433,40,,Aggregated,16.500000,0.000000,570,650,690,710,870,1100,1200,1200,1300,1300,1300,238,0,570,573.9497025164643,83.98190001025796,1294.469099957496,10534.634453781513
1780190434,40,,Aggregated,24.000000,0.000000,590,690,710,800,980,1100,1200,1300,1300,1300,1300,279,0,590,612.0548641499412,83.98190001025796,1294.469099957496,10501.95340501792
1780190435,40,,Aggregated,29.166667,0.000000,590,680,710,790,970,1100,1200,1300,1500,1500,1500,326,0,590,612.2509631845369,83.98190001025796,1493.8074999954551,10400.150306748466
1780190436,40,,Aggregated,34.571429,0.000000,600,690,770,810,980,1100,1200,1300,1500,1500,1500,370,0,600,629.9983229714672,83.98190001025796,1493.8074999954551,10520.708108108109
1780190437,40,,Aggregated,34.875000,0.000000,600,690,760,800,970,1100,1200,1300,1500,1500,1500,433,0,600,636.1411898364646,83.98190001025796,1493.8074999954551,10482.517321016167
1780190438,40,,Aggregated,36.333333,0.000000,610,700,770,800,950,1100,1200,1300,1500,1500,1500,480,0,610,637.9822918732922,83.98190001025796,1493.8074999954551,10532.210416666667
1780190439,40,,Aggregated,37.400000,0.000000,610,700,770,800,900,1000,1200,1200,1500,1500,1500,533,0,610,640.0234020620019,83.98190001025796,1493.8074999954551,10525.003752345216
1780190440,40,,Aggregated,43.300000,0.000000,610,700,730,800,890,1000,1200,1200,1500,1500,1500,592,0,610,639.111809626401,83.98190001025796,1493.8074999954551,10473.341216216217
1780190441,40,,Aggregated,46.500000,0.000000,610,690,710,790,890,1000,1200,1200,1500,1500,1500,646,0,610,638.4678670272214,83.98190001025796,1493.8074999954551,10461.625386996904
1780190442,40,,Aggregated,49.900000,0.000000,620,700,780,800,900,1000,1100,1200,1500,1500,1500,688,0,620,647.5067220937574,83.98190001025796,1493.8074999954551,10474.738372093023
