Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,17573,0,1600,1666.9587664265712,239.25459990277886,7138.526800088584,10551.75798099357,29.354101514260392,0.0,1600,1700,1800,1800,1900,2000,2300,2500,6500,6800,7100
POST,/cart,6404,0,2000,2004.9238846970193,99.01760006323457,4200.205599889159,17932.862117426608,10.69730075100003,0.0,2000,2100,2200,2300,2500,2700,2900,3100,3700,4200,4200
POST,/cart/checkout,3837,0,1000,1028.3195108128796,218.39480008929968,2875.2148000057787,6804.687776909043,6.409360240722536,0.0,1000,1100,1100,1200,1200,1400,1500,1700,2600,2900,2900
GET,/product/0PUK6V6EV0,2675,0,1300,1334.5789643377936,298.93489996902645,2714.6513999905437,7983.940186915888,4.4683447078271525,0.0,1300,1400,1400,1500,1600,1700,2100,2200,2600,2700,2700
GET,/product/1YMWWN1N4O,2505,0,1300,1327.127746905678,300.88149989023805,2497.24889989011,8000.962874251497,4.1843751376100995,0.0,1300,1400,1400,1500,1600,1700,2000,2200,2400,2500,2500
GET,/product/2ZYFJ3GM2N,2347,0,1300,1334.9738234751685,579.4522000942379,3082.4043001048267,7995.371112057946,3.920450478231898,0.0,1300,1400,1400,1500,1600,1700,2000,2200,3000,3100,3100
GET,/product/66VCHSJNUP,2471,0,1300,1333.9706753546056,223.42579998075962,2712.4616999644786,7966.603804127883,4.127581223566689,0.0,1300,1400,1400,1500,1600,1800,2000,2200,2700,2700,2700
GET,/product/L9ECAV7KIM,2590,0,1300,1328.435429341958,242.88330017589033,2797.48099995777,7969.960231660231,4.326359922718626,0.0,1300,1400,1400,1500,1600,1700,2000,2200,2700,2800,2800
GET,/product/OLJCESPC7Z,2495,0,1300,1333.1854246072435,287.8725999034941,2705.945299938321,8003.7939879759515,4.167671045244391,0.0,1300,1400,1400,1500,1600,1800,2000,2200,2700,2700,2700
,Aggregated,42897,0,1500,1542.5201099725684,99.01760006323457,7138.526800088584,10416.565447467188,71.65554502118181,0.0,1500,1700,1800,1800,2000,2200,2500,2700,5800,6800,7100
