Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780194033,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780194034,40,,Aggregated,0.000000,0.000000,220,220,240,260,270,270,270,270,270,270,270,9,0,220,190.250466681189,57.26120015606284,271.86360000632703,9933.666666666666
1780194035,60,,Aggregated,0.000000,0.000000,260,300,360,380,390,450,460,460,460,460,460,35,0,260,271.42778000395214,57.26120015606284,461.3151999656111,10204.6
1780194036,80,,Aggregated,0.000000,0.000000,450,570,620,660,680,720,750,780,780,780,780,75,0,450,445.31118666442734,57.26120015606284,784.7024998627603,10800.12
1780194037,100,,Aggregated,9.000000,0.000000,580,660,690,710,780,850,890,900,930,930,930,121,0,580,539.3470347116216,57.26120015606284,928.3541000913829,10691.917355371901
1780194038,120,,Aggregated,15.333333,0.000000,670,760,810,870,1100,1200,1200,1300,1300,1300,1300,175,0,670,660.925780577319,57.26120015606284,1284.719199873507,10642.371428571429
1780194039,140,,Aggregated,22.250000,0.000000,740,890,1100,1200,1300,1500,1600,1700,1800,1800,1800,227,0,740,798.6767158632285,57.26120015606284,1790.79580004327,10609.436123348018
1780194040,160,,Aggregated,29.000000,0.000000,860,1200,1300,1300,1600,1700,1800,1800,2000,2000,2000,284,0,860,934.721414089157,57.26120015606284,1985.2301999926567,10648.031690140846
1780194041,180,,Aggregated,32.166667,0.000000,1100,1300,1500,1600,1800,2000,2100,2200,2300,2300,2300,355,0,1100,1093.667096342288,57.26120015606284,2334.2574001289904,10514.585915492959
1780194042,200,,Aggregated,35.000000,0.000000,1200,1500,1700,1700,2000,2100,2200,2200,2300,2300,2300,412,0,1200,1191.5708330140033,57.26120015606284,2334.2574001289904,10532.817961165048
1780194043,200,,Aggregated,37.875000,0.000000,1300,1600,1800,1900,2100,2300,2500,2600,2700,2700,2700,462,0,1300,1289.1915006521742,57.26120015606284,2686.1994001083076,10590.192640692641
1780194044,200,,Aggregated,41.222222,0.000000,1400,1800,2000,2100,2300,2600,2900,2900,3200,3200,3200,532,0,1400,1439.661973500029,57.26120015606284,3185.677600093186,10552.885338345865
1780194045,200,,Aggregated,42.200000,0.000000,1500,1900,2100,2200,2600,2900,3000,3100,3400,3400,3400,579,0,1500,1539.9154502643507,57.26120015606284,3419.5024999789894,10573.89982728843
1780194046,200,,Aggregated,48.100000,0.000000,1700,2100,2300,2500,2900,3100,3200,3300,3600,3600,3600,662,0,1700,1687.606156801909,57.26120015606284,3604.067999869585,10480.34592145015
