Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,14487,0,760,763.9933383786131,81.4459000248462,1577.5790000334382,10556.091875474563,24.19560778564508,0.0,760,800,810,870,900,990,1100,1200,1400,1500,1600
POST,/cart,5624,0,910,944.9449832481465,365.9533001482487,2512.3532998841256,18140.603129445233,9.39297978784206,0.0,910,990,1100,1100,1200,1300,1400,1500,1900,2500,2500
POST,/cart/checkout,3129,0,500,519.8062198790496,291.6030001360923,1726.5977999195457,6804.446788111218,5.225930610981117,0.0,500,520,580,590,610,690,810,980,1400,1700,1700
GET,/product/0PUK6V6EV0,2437,0,590,605.5747899468561,218.92949985340238,1488.993200007826,8014.298317603611,4.070179897398845,0.0,590,610,680,690,710,790,900,1000,1400,1500,1500
GET,/product/1YMWWN1N4O,1939,0,590,608.9559910772584,195.9995999932289,1574.8620999511331,8035.237235688499,3.2384402220173816,0.0,590,610,680,690,710,790,910,1000,1600,1600,1600
GET,/product/2ZYFJ3GM2N,1939,0,590,601.5451368233386,196.2760000023991,1371.4348999783397,8030.126869520372,3.2384402220173816,0.0,590,610,670,690,710,790,890,1000,1300,1400,1400
GET,/product/66VCHSJNUP,2017,0,590,603.3598119478412,195.23929990828037,1424.938399810344,7994.376301437779,3.368712701293996,0.0,590,610,680,690,710,790,880,980,1300,1400,1400
GET,/product/L9ECAV7KIM,2058,0,590,609.1045595734246,242.82140005379915,1562.857799930498,8004.186103012634,3.437189260913755,0.0,590,610,680,690,710,790,900,1000,1400,1600,1600
GET,/product/OLJCESPC7Z,1991,0,590,602.884998092019,126.16769992746413,1373.3092998154461,8035.454545454545,3.3252885415351248,0.0,590,610,680,690,710,790,880,990,1200,1400,1400
,Aggregated,35621,0,700,715.9434363572544,81.4459000248462,2512.3532998841256,10542.023441228488,59.49276902964474,0.0,700,780,800,860,970,1100,1200,1300,1600,2000,2500
