Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780198841,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780198842,20,,Aggregated,0.000000,0.000000,160,170,190,190,190,200,200,200,200,200,200,11,0,160,149.5942726773633,56.528199929744005,204.55639995634556,9808.454545454546
1780198843,40,,Aggregated,0.000000,0.000000,250,300,330,350,420,430,440,440,440,440,440,39,0,250,258.421338437937,56.528199929744005,436.27050006762147,10191.589743589744
1780198844,80,,Aggregated,2.000000,0.000000,380,480,510,530,580,620,710,720,720,720,720,81,0,380,386.5082135659723,56.528199929744005,724.5392999611795,10653.506172839507
1780198845,80,,Aggregated,11.000000,0.000000,540,600,690,740,830,890,980,980,1000,1000,1000,134,0,530,523.1735686434489,56.528199929744005,1004.5969998463988,10832.179104477613
1780198846,80,,Aggregated,18.000000,0.000000,620,770,870,960,1100,1100,1400,1500,1500,1500,1500,186,0,610,652.9153526700552,56.528199929744005,1487.8787000197917,10533.322580645161
1780198847,80,,Aggregated,25.500000,0.000000,760,930,1000,1100,1300,1400,1500,1500,1600,1600,1600,236,0,750,766.1514482924604,56.528199929744005,1559.821299975738,10557.262711864407
1780198848,80,,Aggregated,30.400000,0.000000,870,1000,1100,1200,1300,1500,1500,1600,1800,1800,1800,312,0,870,851.3559935777149,56.528199929744005,1767.1366999857128,10526.714743589744
1780198849,80,,Aggregated,34.166667,0.000000,910,1100,1200,1300,1300,1400,1500,1600,1800,1800,1800,380,0,900,895.3020473592915,56.528199929744005,1767.1366999857128,10516.23947368421
1780198850,80,,Aggregated,37.000000,0.000000,960,1100,1200,1200,1300,1400,1500,1500,1800,1800,1800,451,0,960,918.8682407898593,56.528199929744005,1767.1366999857128,10460.20399113082
1780198851,80,,Aggregated,40.750000,0.000000,970,1100,1200,1200,1300,1400,1500,1500,1800,1800,1800,514,0,970,931.4528861801514,56.528199929744005,1767.1366999857128,10404.040856031128
1780198852,80,,Aggregated,44.555556,0.000000,990,1100,1200,1300,1400,1400,1500,1600,1800,1800,1800,580,0,990,962.9223508555602,56.528199929744005,1767.1366999857128,10473.184482758621
