Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,13215,0,600,647.3322917443337,99.04189989902079,5974.79290002957,10557.864245175937,22.063633503077355,0.0,600,670,690,700,790,880,1100,1200,5400,5900,6000
POST,/cart,5362,0,770,787.4822156658901,93.35930016823113,1873.3891998417675,18148.438828795224,8.952342250737857,0.0,770,810,890,900,1000,1100,1300,1400,1800,1900,1900
POST,/cart/checkout,2887,0,410,448.98080609653016,117.74939997121692,1631.2457998283207,6804.657429857984,4.8201066911376715,0.0,410,480,490,500,540,610,970,1100,1500,1600,1600
GET,/product/0PUK6V6EV0,2242,0,490,514.3071995087693,286.6530001629144,1596.002300037071,8015.8884924174845,3.7432210604539864,0.0,490,510,570,580,610,710,950,1100,1400,1600,1600
GET,/product/1YMWWN1N4O,1703,0,490,509.5549357638826,56.394899962469935,1459.0182998217642,8034.881385789783,2.843311983029946,0.0,490,510,550,580,600,690,930,1100,1400,1500,1500
GET,/product/2ZYFJ3GM2N,1786,0,490,517.2321888593923,184.92929986678064,1499.0009001921862,8031.551511758119,2.9818879634124977,0.0,490,510,570,590,610,710,970,1100,1500,1500,1500
GET,/product/66VCHSJNUP,1866,0,490,512.1021295291505,101.27110010944307,1382.2055000346154,7994.715434083601,3.115455173419776,0.0,490,510,570,580,600,720,900,1100,1400,1400,1400
GET,/product/L9ECAV7KIM,1881,0,490,518.4484669342805,140.44290012679994,1496.4379000011832,8007.82562466773,3.1404990252961413,0.0,490,510,570,590,610,770,980,1200,1400,1500,1500
GET,/product/OLJCESPC7Z,1872,0,490,514.2895744701312,238.92130004242063,1511.2399000208825,8039.140491452991,3.1254727141703222,0.0,490,510,570,590,610,700,890,990,1400,1500,1500
,Aggregated,32814,0,590,606.7941480045988,56.394899962469935,5974.79290002957,10590.255896873286,54.785930364735556,0.0,590,610,690,700,810,910,1100,1200,4400,5700,6000
