Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780194634,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780194635,40,,Aggregated,0.000000,0.000000,290,290,490,490,540,540,540,540,540,540,540,6,0,260,346.3219499681145,250.77969999983907,538.1721998564899,10499.0
1780194636,60,,Aggregated,0.000000,0.000000,290,310,350,380,450,490,540,540,540,540,540,39,0,290,299.9033999856179,149.12980003282428,538.1721998564899,10034.102564102564
1780194637,80,,Aggregated,0.000000,0.000000,390,480,540,570,590,670,680,690,690,690,690,71,0,390,402.60540985200606,149.12980003282428,685.944699915126,10563.56338028169
1780194638,100,,Aggregated,7.500000,0.000000,580,680,780,820,940,990,1100,1200,1300,1300,1300,120,0,570,580.0834900001064,149.12980003282428,1269.4319000001997,10802.758333333333
1780194639,120,,Aggregated,14.000000,0.000000,710,820,910,960,1100,1100,1200,1300,1400,1400,1400,179,0,710,686.2354324063983,149.12980003282428,1362.552999984473,10604.363128491621
1780194640,140,,Aggregated,20.500000,0.000000,820,970,1100,1100,1200,1300,1400,1500,1600,1600,1600,241,0,820,802.6714593392345,149.12980003282428,1593.153900001198,10595.190871369294
1780194641,160,,Aggregated,27.000000,0.000000,930,1100,1200,1300,1400,1500,1600,1600,1700,1700,1700,304,0,930,912.49665033109,149.12980003282428,1681.9774999748915,10510.049342105263
1780194642,180,,Aggregated,30.500000,0.000000,1000,1200,1400,1400,1600,1700,1900,2000,2200,2200,2200,380,0,1000,1030.4907255242333,149.12980003282428,2183.376400033012,10449.565789473685
1780194643,200,,Aggregated,35.857143,0.000000,1100,1300,1500,1600,1800,2000,2200,2200,2500,2500,2500,432,0,1100,1125.5875784700038,149.12980003282428,2486.495800083503,10534.342592592593
1780194644,200,,Aggregated,39.750000,0.000000,1200,1500,1600,1800,2000,2200,2300,2400,2700,2700,2700,510,0,1200,1248.0731896069997,149.12980003282428,2673.6961000133306,10476.156862745098
1780194645,200,,Aggregated,42.555556,0.000000,1300,1600,1800,2000,2200,2400,2500,2700,3100,3100,3100,578,0,1300,1362.7838472308829,149.12980003282428,3111.4923001732677,10583.813148788928
1780194646,200,,Aggregated,45.300000,0.000000,1400,1800,2000,2200,2400,2600,2700,2800,3100,3100,3100,660,0,1400,1478.8624237870063,149.12980003282428,3111.4923001732677,10534.84090909091
1780194647,200,,Aggregated,51.600000,0.000000,1600,1900,2200,2200,2500,2700,2800,3000,3300,3300,3300,742,0,1600,1572.1726563349341,149.12980003282428,3286.896500037983,10498.858490566037
1780194648,200,,Aggregated,56.300000,0.000000,1600,2000,2200,2300,2600,2700,3000,3100,3600,3600,3600,816,0,1600,1644.0301514712878,149.12980003282428,3617.8208000492305,10436.400735294117
1780194649,200,,Aggregated,61.800000,0.000000,1800,2100,2300,2400,2700,2800,3100,3100,3600,3600,3600,899,0,1800,1716.3258813118543,149.12980003282428,3617.8208000492305,10492.242491657396
1780194650,200,,Aggregated,66.400000,0.000000,1900,2200,2300,2400,2700,2800,3100,3100,3600,3600,3600,986,0,1900,1770.5602799173876,149.12980003282428,3617.8208000492305,10460.1369168357
1780194651,200,,Aggregated,68.200000,0.000000,1900,2200,2400,2500,2700,2900,3100,3200,3700,3700,3700,1054,0,1900,1806.0932781770862,149.12980003282428,3680.768599966541,10418.823529411764
1780194652,200,,Aggregated,71.600000,0.000000,2000,2200,2400,2500,2700,3000,3200,3300,3700,3900,3900,1125,0,2000,1852.883653242348,149.12980003282428,3913.7701999861747,10438.45511111111
1780194653,200,,Aggregated,73.500000,0.000000,2000,2300,2400,2600,2800,3100,3300,3500,3800,3900,3900,1200,0,2000,1908.233879081284,149.12980003282428,3913.7701999861747,10411.0525
1780194654,200,,Aggregated,73.600000,0.000000,2100,2300,2500,2600,2900,3100,3400,3600,3900,4400,4400,1261,0,2100,1953.9819122103768,149.12980003282428,4443.5115999076515,10413.203013481365
