Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780200043,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780200044,20,,Aggregated,0.000000,0.000000,670,670,740,740,740,740,740,740,740,740,740,4,0,400,545.2387000550516,366.706500062719,738.2314000278711,10499.0
1780200045,40,,Aggregated,0.000000,0.000000,380,400,400,410,490,670,740,740,740,740,740,33,0,380,368.46033938821745,223.42579998075962,738.2314000278711,10078.60606060606
1780200046,60,,Aggregated,0.000000,0.000000,450,500,580,590,700,740,790,810,810,810,810,72,0,440,468.38171249126185,223.42579998075962,805.0687999930233,10610.430555555555
1780200047,80,,Aggregated,5.500000,0.000000,580,670,710,740,810,890,950,990,1000,1000,1000,115,0,580,566.1625843454639,223.42579998075962,999.7609998099506,10816.591304347827
1780200048,100,,Aggregated,15.000000,0.000000,680,790,910,980,1200,1300,1300,1400,1400,1400,1400,160,0,680,710.6109243715764,223.42579998075962,1365.6413001008332,10734.0875
1780200049,120,,Aggregated,22.500000,0.000000,790,990,1200,1200,1300,1400,1500,1500,1800,1800,1800,223,0,790,835.8374636801954,223.42579998075962,1782.6076000928879,10641.587443946188
1780200050,120,,Aggregated,26.600000,0.000000,970,1200,1300,1400,1600,1700,1800,1900,1900,1900,1900,302,0,960,975.8941317902298,223.42579998075962,1904.981300001964,10565.317880794702
1780200051,120,,Aggregated,31.333333,0.000000,1100,1300,1400,1500,1600,1700,1800,1900,2200,2200,2200,364,0,1100,1051.0011744489739,223.42579998075962,2159.74870021455,10567.461538461539
1780200052,120,,Aggregated,34.142857,0.000000,1200,1400,1600,1600,1700,1800,2000,2000,2200,2200,2200,446,0,1200,1157.8438488778036,223.42579998075962,2171.13979998976,10530.20403587444
1780200053,120,,Aggregated,39.500000,0.000000,1300,1500,1600,1600,1800,1900,2000,2000,2400,2400,2400,499,0,1300,1205.1328557122588,223.42579998075962,2363.1883000489324,10479.266533066133
1780200054,120,,Aggregated,41.444444,0.000000,1300,1500,1600,1700,1800,1900,2000,2200,2400,2400,2400,592,0,1300,1259.810038345136,223.42579998075962,2374.113699886948,10413.956081081082
1780200055,120,,Aggregated,45.500000,0.000000,1400,1600,1600,1700,1800,1900,2000,2200,2400,2400,2400,651,0,1400,1281.7475760384918,223.42579998075962,2374.113699886948,10392.385560675883
