Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15151,0,890,901.6114892885244,149.95160000398755,1995.4741999972612,10556.572107451653,25.299100247874485,0.0,890,920,990,1000,1100,1200,1300,1400,1700,2000,2000
POST,/cart,5834,0,1100,1110.8674790549296,300.46920012682676,3100.558100035414,18142.58621871786,9.741597970173569,0.0,1100,1200,1200,1300,1400,1500,1700,1800,2400,3100,3100
POST,/cart/checkout,3198,0,590,605.7133925257436,220.80100001767278,2225.220700027421,6804.3983739837395,5.340012051528124,0.0,590,600,660,680,700,800,1200,1400,1900,2200,2200
GET,/product/0PUK6V6EV0,2448,0,700,712.3118940366278,200.8656000252813,1792.8190999664366,8010.647875816993,4.0876640094249055,0.0,700,720,780,790,870,910,1100,1300,1700,1800,1800
GET,/product/1YMWWN1N4O,2088,0,700,713.9984169552081,194.65680001303554,1901.174500118941,8035.26101532567,3.48653694921536,0.0,700,730,790,800,880,910,1100,1200,1800,1900,1900
GET,/product/2ZYFJ3GM2N,2016,0,700,708.1528952393065,196.22300006449223,1691.9674000237137,8029.0932539682535,3.366311537173451,0.0,700,720,780,790,820,900,990,1100,1600,1700,1700
GET,/product/66VCHSJNUP,2141,0,700,708.9099773030297,194.74199996329844,1712.7639001701027,7992.990658570761,3.575036210857321,0.0,700,710,790,790,870,900,1100,1200,1600,1700,1700
GET,/product/L9ECAV7KIM,2160,0,700,712.7443190276002,157.03350002877414,1902.6577998884022,8002.54212962963,3.6067623612572692,0.0,700,720,790,790,870,910,1100,1200,1600,1900,1900
GET,/product/OLJCESPC7Z,2128,0,700,716.1060179034695,211.58750005997717,1794.560099951923,8031.332236842105,3.5533288447941986,0.0,700,720,790,800,880,910,1100,1300,1700,1800,1800
,Aggregated,37164,0,800,842.7932951492028,149.95160000398755,3100.558100035414,10537.359810569369,62.05635018229868,0.0,800,900,980,1000,1100,1300,1400,1500,2000,2500,3100
