Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,17770,0,1600,1653.5943655262088,87.4258999247104,3178.0052999965847,10551.73444006753,29.67389852048208,0.0,1600,1700,1800,1800,1900,2000,2100,2200,2700,3200,3200
POST,/cart,6478,0,1900,1986.0923800399435,286.93140018731356,4599.809100152925,17932.469898116702,10.817530366667581,0.0,1900,2100,2200,2300,2500,2600,2800,3000,3600,4600,4600
POST,/cart/checkout,3885,0,1000,1016.1491076451183,264.4764999859035,2498.270400101319,6804.957528957529,6.487512422739048,0.0,1000,1100,1100,1100,1200,1300,1400,1500,2300,2500,2500
GET,/product/0PUK6V6EV0,2707,0,1300,1312.7398759512507,292.93460003100336,2725.5269000306726,7981.0350942002215,4.520385103823578,0.0,1300,1400,1400,1400,1500,1600,1800,1900,2600,2700,2700
GET,/product/1YMWWN1N4O,2538,0,1300,1306.1998310444585,52.61779995635152,2586.547599872574,7996.786052009456,4.238174138716011,0.0,1300,1400,1400,1400,1500,1600,1700,1900,2500,2600,2600
GET,/product/2ZYFJ3GM2N,2373,0,1300,1301.9842630427086,332.41340005770326,2385.9136002138257,7995.946902654868,3.9626427230784453,0.0,1300,1400,1400,1400,1500,1600,1700,1900,2400,2400,2400
GET,/product/66VCHSJNUP,2506,0,1300,1307.6224638863987,63.862500013783574,2576.0306001175195,7965.033519553072,4.184737742955998,0.0,1300,1400,1400,1400,1500,1600,1800,1900,2400,2600,2600
GET,/product/L9ECAV7KIM,2624,0,1300,1300.2422631100826,277.63449982739985,2411.898900056258,7969.898628048781,4.381784452321045,0.0,1300,1400,1400,1400,1500,1600,1700,1800,2400,2400,2400
GET,/product/OLJCESPC7Z,2537,0,1300,1302.3646807250893,120.89110002852976,2812.414899934083,8000.540796216003,4.236504251348511,0.0,1300,1400,1400,1400,1500,1600,1700,1900,2500,2800,2800
,Aggregated,43418,0,1500,1523.5428867288147,52.61779995635152,4599.809100152925,10413.970427011838,72.5031697221323,0.0,1500,1700,1700,1800,2000,2200,2400,2600,3100,3600,4600
