Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,16308,0,1100,1152.3348981597806,100.48179980367422,2689.04050020501,10554.794947265145,27.23189872856862,0.0,1100,1200,1300,1300,1400,1500,1600,1700,2100,2600,2700
POST,/cart,6009,0,1400,1426.7528717109524,380.44329988770187,3019.6489000227302,18073.687635213846,10.034123096637774,0.0,1400,1500,1600,1700,1800,2000,2200,2400,2800,3000,3000
POST,/cart/checkout,3479,0,700,754.8335728375549,240.9141999669373,2155.372800072655,6804.797643000862,5.809404934798272,0.0,700,780,800,810,910,1100,1500,1700,2000,2200,2200
GET,/product/0PUK6V6EV0,2577,0,900,919.3282074915323,195.59799996204674,2122.1539999824017,8006.208769887466,4.303201068403319,0.0,900,980,1000,1000,1100,1200,1500,1600,2000,2100,2100
GET,/product/1YMWWN1N4O,2223,0,890,919.2253237523581,56.528199929744005,2265.884399879724,8026.748987854251,3.712074495560954,0.0,890,970,1000,1000,1100,1200,1400,1600,2000,2300,2300
GET,/product/2ZYFJ3GM2N,2256,0,900,917.4365135171271,324.24310012720525,2171.793800080195,8018.707003546099,3.7671795150632086,0.0,900,970,1000,1000,1100,1200,1400,1600,1900,2200,2200
GET,/product/66VCHSJNUP,2291,0,900,916.9408733303452,125.83639984950423,2275.0383999664336,7986.537319947621,3.825624232717115,0.0,900,980,1000,1000,1100,1200,1400,1600,2000,2300,2300
GET,/product/L9ECAV7KIM,2377,0,900,926.4931609132395,163.0210999865085,2209.8945998586714,7995.207824989482,3.9692312532381413,0.0,900,980,1000,1000,1100,1200,1500,1700,1900,2200,2200
GET,/product/OLJCESPC7Z,2283,0,900,917.651896271977,191.44889991730452,1987.2834999114275,8028.61629434954,3.8122654401105076,0.0,900,980,1000,1000,1100,1200,1400,1600,1900,2000,2000
,Aggregated,39803,0,1100,1077.1039883572623,56.528199929744005,3019.6489000227302,10466.624098686028,66.4650027650979,0.0,1100,1200,1200,1300,1400,1600,1800,2000,2500,2900,3000
