Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15800,0,1200,1254.903130645356,192.6192999817431,11189.89840010181,10554.857025316456,26.36697956750121,0.0,1200,1200,1300,1300,1400,1500,2000,4800,11000,11000,11000
POST,/cart,5848,0,1400,1408.707238934947,70.26649988256395,3102.9781999532133,18077.935020519835,9.759120032325765,0.0,1400,1500,1600,1600,1800,1900,2200,2300,2800,3100,3100
POST,/cart/checkout,3370,0,710,745.494589493306,61.193599831312895,2440.7235998660326,6804.686646884273,5.623843110283486,0.0,710,790,800,810,900,1000,1300,1600,2000,2400,2400
GET,/product/0PUK6V6EV0,2480,0,900,913.3668068952243,205.76520008035004,2014.9431000463665,8006.684274193548,4.138614514392595,0.0,900,970,990,1000,1100,1200,1300,1500,2000,2000,2000
GET,/product/1YMWWN1N4O,2165,0,900,918.486347758721,101.84459993615746,2091.8544000014663,8026.096997690531,3.612943719217729,0.0,900,980,1000,1000,1100,1200,1400,1600,2000,2100,2100
GET,/product/2ZYFJ3GM2N,2197,0,900,916.6507431061987,105.21910013630986,2014.75439989008,8018.97177969959,3.6663451968227947,0.0,900,980,990,1000,1100,1200,1400,1600,1900,2000,2000
GET,/product/66VCHSJNUP,2236,0,900,920.997800892248,101.6492999624461,2103.6610999144614,7987.762075134168,3.7314282476539686,0.0,900,980,1000,1000,1100,1200,1500,1600,1800,2100,2100
GET,/product/L9ECAV7KIM,2302,0,900,922.0428836662816,218.90869992785156,1975.23060021922,7995.732406602954,3.8415687952144166,0.0,900,980,1000,1000,1100,1200,1400,1600,1900,2000,2000
GET,/product/OLJCESPC7Z,2218,0,900,915.5974875542698,49.022499937564135,2104.3194998055696,8026.608205590622,3.7013899165011193,0.0,900,970,990,1000,1100,1200,1400,1600,1800,2100,2100
,Aggregated,38616,0,1100,1115.0339107901605,49.022499937564135,11189.89840010181,10470.76046198467,64.44223309991308,0.0,1100,1200,1200,1300,1400,1600,1900,2200,11000,11000,11000
