Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15789,0,1000,1031.8052597312128,85.08240012452006,1990.5403999146074,10555.406675533599,26.358156803332722,0.0,1000,1100,1100,1100,1200,1300,1400,1500,1700,2000,2000
POST,/cart,5938,0,1200,1266.8583425406196,404.4049000367522,2885.081799933687,18114.405860559113,9.912897276470309,0.0,1200,1300,1400,1500,1600,1700,1900,2100,2600,2900,2900
POST,/cart/checkout,3300,0,670,686.3313529067532,303.0783000867814,2774.242099840194,6804.453939393939,5.509020042497814,0.0,670,700,710,770,800,980,1400,1600,2200,2800,2800
GET,/product/0PUK6V6EV0,2472,0,790,807.9145206325924,272.55439991131425,1807.0296999067068,8010.666262135922,4.126756831834726,0.0,790,850,890,900,980,1000,1200,1300,1700,1800,1800
GET,/product/1YMWWN1N4O,2187,0,800,813.9328871997159,54.34069992043078,1998.8561000209302,8031.5614997713765,3.6509778281644603,0.0,800,860,890,900,990,1100,1200,1400,1900,2000,2000
GET,/product/2ZYFJ3GM2N,2181,0,800,812.6749944478591,297.2555998712778,1789.916800102219,8022.408986703347,3.6409614280871914,0.0,800,870,890,900,990,1000,1200,1300,1700,1800,1800
GET,/product/66VCHSJNUP,2237,0,800,817.8548031743861,88.94140017218888,1908.3503000438213,7990.7764863656685,3.7344478288083667,0.0,800,860,890,900,990,1100,1200,1400,1800,1900,1900
GET,/product/L9ECAV7KIM,2261,0,800,814.7109743950774,145.33039997331798,1807.1902999654412,8001.0818222025655,3.7745134291174414,0.0,800,860,890,900,980,1000,1200,1400,1800,1800,1800
GET,/product/OLJCESPC7Z,2209,0,800,815.8408426459383,246.54629989527166,1889.3720000050962,8030.405160706202,3.6877046284477792,0.0,800,860,890,900,990,1100,1200,1300,1800,1900,1900
,Aggregated,38574,0,920,961.8433856978298,54.34069992043078,2885.081799933687,10505.69295380308,64.3954360967608,0.0,920,1000,1100,1100,1300,1400,1600,1700,2200,2600,2900
