Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15127,0,890,899.0673249487032,130.61170000582933,2001.109099946916,10556.616447411912,25.258577591185492,0.0,890,920,990,1000,1100,1100,1300,1300,1600,1900,2000
POST,/cart,5840,0,1100,1112.2601856837969,359.75870001129806,2599.190100096166,18145.29571917808,9.75144398311121,0.0,1100,1200,1200,1300,1400,1500,1700,1800,2200,2600,2600
POST,/cart/checkout,3197,0,590,606.2879456668302,305.6135999504477,1891.9514999724925,6804.317172349077,5.3382476736312565,0.0,590,600,660,680,710,810,1200,1400,1800,1900,1900
GET,/product/0PUK6V6EV0,2443,0,700,721.8929354914944,284.8817000631243,1803.2639001030475,8011.045026606631,4.079242748414501,0.0,700,770,790,800,890,980,1100,1300,1700,1800,1800
GET,/product/1YMWWN1N4O,2094,0,700,712.7817422144894,70.04950009286404,1417.0172999147326,8035.2425978987585,3.4964937843552866,0.0,700,720,790,800,880,910,1100,1200,1400,1400,1400
GET,/product/2ZYFJ3GM2N,2011,0,700,719.53607349569,193.9928000792861,1694.0448000095785,8028.147687717554,3.357903056513124,0.0,700,740,790,800,890,980,1100,1400,1700,1700,1700
GET,/product/66VCHSJNUP,2139,0,700,710.5689823738281,175.91560003347695,1592.0402999036014,7992.795698924731,3.5716333355950134,0.0,700,720,790,800,880,910,1100,1200,1400,1600,1600
GET,/product/L9ECAV7KIM,2156,0,700,720.452791277396,190.51440013572574,1696.9254000578076,8002.487940630798,3.6000193882855767,0.0,700,770,790,800,890,990,1100,1300,1600,1700,1700
GET,/product/OLJCESPC7Z,2127,0,700,714.7151748923437,203.66479991935194,1711.8872001301497,8032.48095909732,3.551596121931086,0.0,700,730,790,800,880,910,1100,1200,1600,1700,1700
,Aggregated,37134,0,810,843.718219768393,70.04950009286404,2599.190100096166,10539.890477729305,62.005157683022546,0.0,810,900,980,1000,1100,1300,1400,1500,1900,2300,2600
