Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,13421,0,600,630.9252981386464,119.10289991647005,1782.9664999153465,10557.944042917816,22.41636052121471,0.0,600,670,690,700,780,810,950,1100,1500,1700,1800
POST,/cart,5450,0,780,786.3187796155999,362.5535999890417,2491.518799914047,18151.73137614679,9.102836214933326,0.0,780,810,880,900,990,1100,1200,1400,2200,2500,2500
POST,/cart/checkout,2923,0,410,442.8067540218133,212.0674999896437,2014.4520001485944,6803.847074923025,4.882126652522956,0.0,410,480,490,490,510,590,800,990,1800,2000,2000
GET,/product/0PUK6V6EV0,2286,0,490,502.97574790173036,258.2755999173969,1459.2762000393122,8016.767279090113,3.8181804747408408,0.0,490,510,520,580,600,680,790,920,1300,1500,1500
GET,/product/1YMWWN1N4O,1729,0,490,500.59545187585536,83.98190001025796,1162.5077999196947,8035.915558126085,2.8878539111228845,0.0,490,500,520,580,600,690,790,900,1100,1200,1200
GET,/product/2ZYFJ3GM2N,1814,0,490,506.12638004318234,264.0422999393195,1385.249599814415,8031.7370452039695,3.029824751172303,0.0,490,510,530,580,600,690,790,980,1300,1400,1400
GET,/product/66VCHSJNUP,1886,0,490,502.09993058985964,85.9226998873055,1618.0181000381708,7994.988865323436,3.150082403920046,0.0,490,500,520,580,600,680,800,990,1300,1600,1600
GET,/product/L9ECAV7KIM,1909,0,490,502.36658276509513,127.39309994503856,1392.2678001690656,8007.794656888424,3.188498042992242,0.0,490,510,530,580,600,680,780,900,1300,1400,1400
GET,/product/OLJCESPC7Z,1896,0,490,503.53149019396875,163.30150002613664,1460.2773000951856,8039.572257383967,3.1667848556905662,0.0,490,510,520,580,600,680,790,990,1300,1500,1500
,Aggregated,33314,0,580,595.5913203945316,83.98190001025796,2491.518799914047,10593.480368613797,55.64254782830987,0.0,580,610,690,700,800,900,1000,1100,1600,2300,2500
