Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,14400,0,910,950.3046255290974,119.94260014034808,2710.385800106451,10556.587986111112,24.036688441942655,0.0,910,990,1000,1100,1200,1300,1400,1500,1900,2600,2700
POST,/cart,5541,0,1100,1179.5024475360253,267.5264000426978,2912.4414001125842,18139.52319075979,9.249117406722517,0.0,1100,1200,1300,1400,1500,1700,1900,2100,2600,2900,2900
POST,/cart/checkout,3043,0,600,653.1857581021992,272.8077000938356,2570.892099989578,6804.718041406507,5.079419647835521,0.0,600,670,690,700,800,1000,1500,1700,2300,2600,2600
GET,/product/0PUK6V6EV0,2330,0,710,756.9284452399231,226.77790001034737,2412.40969998762,8012.14678111588,3.8892697270643324,0.0,710,790,800,830,910,1100,1300,1500,1800,2400,2400
GET,/product/1YMWWN1N4O,1986,0,710,757.2850383667384,56.236800039187074,1924.2544998414814,8035.116817724069,3.3150599476179243,0.0,710,790,810,840,910,1000,1300,1500,1900,1900,1900
GET,/product/2ZYFJ3GM2N,1915,0,710,758.8125047532905,295.2735999133438,2093.49779994227,8027.7879895561355,3.1965457198833462,0.0,710,790,800,830,920,1100,1300,1400,2100,2100,2100
GET,/product/66VCHSJNUP,2041,0,710,758.1422320477635,158.3465998992324,2239.648000104353,7990.854483096521,3.4068667437503444,0.0,710,790,800,850,910,1100,1300,1500,2000,2200,2200
GET,/product/L9ECAV7KIM,2061,0,710,759.8683286772535,210.28080000542104,2103.1693001277745,8001.792819019894,3.4402510332530425,0.0,710,790,800,820,910,1100,1300,1400,2000,2100,2100
GET,/product/OLJCESPC7Z,2033,0,710,753.5138062935092,221.38650016859174,2198.9903999492526,8033.181013280866,3.393513027949265,0.0,710,790,800,830,910,1000,1200,1400,1900,2200,2200
,Aggregated,35350,0,880,893.1751550420638,56.236800039187074,2912.4414001125842,10533.648260254597,59.006731696018946,0.0,880,970,1000,1100,1200,1400,1600,1700,2300,2600,2900
