Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,18130,0,2000,2066.126277975511,98.11220015399158,7922.416600165889,10552.467733039162,30.273220483890587,0.0,2000,2100,2200,2200,2300,2500,2700,3300,7200,7800,7900
POST,/cart,6677,0,2400,2434.8917399734714,80.99309983663261,4616.5423998609185,18016.084918376517,11.149161233918226,0.0,2400,2600,2700,2800,3000,3200,3400,3500,4200,4600,4600
POST,/cart/checkout,3903,0,1200,1233.2397000267606,236.72590008936822,2697.3187001422048,6804.57750448373,6.517174823421123,0.0,1200,1300,1300,1400,1500,1500,1700,1800,2500,2700,2700
GET,/product/0PUK6V6EV0,2699,0,1600,1608.944132607399,194.81359981000423,3196.789399953559,7957.300111152279,4.506752459239972,0.0,1600,1700,1700,1800,1900,2000,2100,2400,3100,3200,3200
GET,/product/1YMWWN1N4O,2706,0,1600,1596.8493911291762,65.7615999225527,3508.1150999758393,7966.897634885439,4.518440961357305,0.0,1600,1700,1700,1800,1900,1900,2100,2200,3000,3500,3500
GET,/product/2ZYFJ3GM2N,2420,0,1600,1600.3099000853033,483.9127999730408,3609.957200009376,7966.678099173554,4.040882160563443,0.0,1600,1700,1700,1700,1900,2000,2100,2200,3100,3600,3600
GET,/product/66VCHSJNUP,2583,0,1600,1601.0227075515102,152.45639998465776,3300.2304998226464,7941.562137049942,4.313057281295609,0.0,1600,1700,1700,1800,1900,2000,2100,2300,3100,3300,3300
GET,/product/L9ECAV7KIM,2743,0,1600,1601.5299224923526,266.74190000630915,3103.296299930662,7943.318629238061,4.580223043977489,0.0,1600,1700,1700,1800,1900,1900,2100,2400,2900,3100,3100
GET,/product/OLJCESPC7Z,2574,0,1600,1605.5894334878876,224.41969998180866,3612.6788000110537,7974.3822843822845,4.2980292071447534,0.0,1600,1700,1700,1800,1900,2000,2200,2600,3100,3600,3600
,Aggregated,44435,0,1900,1884.2706464276473,65.7615999225527,7922.416600165889,10426.692517159896,74.19694165480851,0.0,1900,2000,2100,2200,2400,2700,3000,3300,6100,7600,7900
