Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780186822,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780186823,20,,Aggregated,0.000000,0.000000,130,160,170,170,170,180,180,180,180,180,180,11,0,130,129.19967278668827,63.59959999099374,177.87190014496446,9805.0
1780186824,40,,Aggregated,0.000000,0.000000,250,280,330,350,390,400,470,470,470,470,470,31,0,250,241.39489356668727,63.59959999099374,466.27360000275075,10137.258064516129
1780186825,60,,Aggregated,11.000000,0.000000,420,610,680,720,780,820,860,990,990,990,990,66,0,420,458.9897454575156,63.59959999099374,986.3279000855982,10868.121212121212
1780186826,80,,Aggregated,15.500000,0.000000,600,720,770,800,890,1000,1000,1000,1100,1100,1100,115,0,600,575.625608695428,63.59959999099374,1079.248300055042,10744.460869565217
1780186827,100,,Aggregated,15.500000,0.000000,740,820,950,990,1200,1200,1300,1300,1300,1300,1300,168,0,740,709.2116303628288,63.59959999099374,1305.782400071621,10679.202380952382
1780186828,140,,Aggregated,27.500000,0.000000,840,1000,1200,1200,1400,1400,1500,1500,1800,1800,1800,229,0,840,849.4560379945718,63.59959999099374,1781.9018999580294,10659.034934497817
1780186829,160,,Aggregated,33.600000,0.000000,990,1200,1200,1300,1500,1600,1700,1800,1800,1800,1800,292,0,990,961.5793801399191,63.59959999099374,1796.6392000671476,10571.938356164384
1780186830,180,,Aggregated,37.166667,0.000000,1100,1300,1400,1500,1700,1800,1900,2000,2100,2100,2100,344,0,1100,1062.1389218011795,63.59959999099374,2116.217999951914,10550.21511627907
1780186831,180,,Aggregated,40.000000,0.000000,1200,1400,1600,1600,1800,2000,2100,2200,2300,2300,2300,403,0,1200,1166.970562283412,63.59959999099374,2293.913699919358,10517.890818858561
1780186832,180,,Aggregated,42.625000,0.000000,1300,1600,1700,1800,2200,2300,2500,2600,2800,2800,2800,484,0,1300,1319.7428105400936,63.59959999099374,2821.920999791473,10559.646694214876
1780186833,180,,Aggregated,43.444444,0.000000,1500,1700,1900,2100,2300,2400,2500,2600,2800,2800,2800,555,0,1500,1427.0638493695171,63.59959999099374,2821.920999791473,10614.156756756756
1780186834,180,,Aggregated,47.600000,0.000000,1600,1800,2100,2200,2400,2500,2700,2800,2900,2900,2900,639,0,1600,1516.7764427216143,63.59959999099374,2905.187100172043,10489.004694835681
