Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,13295,0,610,636.4834451818529,100.73129995726049,1707.1463000029325,10557.885144791275,22.195899295681052,0.0,610,680,690,700,780,830,990,1100,1500,1700,1700
POST,/cart,5396,0,780,794.7663388440155,283.2280001603067,2712.2577000409365,18147.118977020014,9.008580112786383,0.0,780,810,890,900,1000,1100,1300,1500,2200,2700,2700
POST,/cart/checkout,2902,0,410,450.54794634678893,212.55990001372993,2202.821800019592,6804.6385251550655,4.8448664728143225,0.0,410,480,490,490,530,610,930,1100,1500,2200,2200
GET,/product/0PUK6V6EV0,2262,0,500,515.9312707325073,179.50000008568168,1589.5940999034792,8016.667108753316,3.776391440904892,0.0,500,510,570,590,610,700,910,1100,1500,1600,1600
GET,/product/1YMWWN1N4O,1713,0,490,507.71433438114076,56.5436000470072,1600.951800122857,8036.456509048453,2.859840202595084,0.0,490,510,560,580,600,690,870,1000,1500,1600,1600
GET,/product/2ZYFJ3GM2N,1795,0,490,507.39466846715607,207.583200186491,1511.0016998369247,8031.796100278551,2.9967385660584798,0.0,490,510,560,580,600,690,890,1100,1400,1500,1500
GET,/product/66VCHSJNUP,1870,0,490,508.2620788213702,78.84359988383949,1589.4291000440717,7995.772727272727,3.121950483860366,0.0,490,500,520,580,610,690,900,1000,1400,1600,1600
GET,/product/L9ECAV7KIM,1894,0,490,512.6593936100227,213.4841000661254,1513.9755001291633,8008.033790918691,3.1620182975569695,0.0,490,510,570,590,610,700,890,1100,1400,1500,1500
GET,/product/OLJCESPC7Z,1885,0,490,513.6953816462594,217.62289991602302,1514.0082000289112,8038.68275862069,3.1469928674207432,0.0,490,510,560,580,610,700,980,1100,1400,1500,1500
,Aggregated,33012,0,590,602.6706682654847,56.5436000470072,2712.2577000409365,10590.85941475827,55.11327773967829,0.0,590,620,690,700,800,910,1100,1200,1600,2400,2700
