Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,14293,0,770,772.252810340518,127.16170004568994,1787.6172999385744,10556.106065906388,23.864053166656426,0.0,770,800,820,880,910,1000,1100,1200,1600,1800,1800
POST,/cart,5541,0,910,964.5434265302541,346.62090009078383,3098.020500037819,18144.028695181376,9.251432071394618,0.0,910,1000,1100,1100,1200,1400,1600,1700,2500,3100,3100
POST,/cart/checkout,3087,0,500,540.9494690978848,211.6865999996662,2776.7875001300126,6804.700356333009,5.1541546299215275,0.0,500,550,580,590,670,800,1200,1400,2200,2800,2800
GET,/product/0PUK6V6EV0,2410,0,600,618.2922939410533,232.89340012706816,1797.9170000180602,8013.724481327801,4.023813624266563,0.0,600,610,680,690,770,830,1100,1200,1700,1800,1800
GET,/product/1YMWWN1N4O,1913,0,590,615.0864045989106,86.10920002683997,1654.8150999005884,8033.903815995818,3.194006416274662,0.0,590,610,680,690,720,810,1000,1200,1600,1700,1700
GET,/product/2ZYFJ3GM2N,1907,0,600,614.4536437843275,227.629299974069,1701.0351999197155,8029.248033560566,3.1839886230192267,0.0,600,610,680,690,730,810,1000,1100,1500,1700,1700
GET,/product/66VCHSJNUP,1988,0,590,611.7089835533842,165.12720007449389,1784.860999789089,7992.874245472837,3.319228831967605,0.0,590,610,680,690,720,810,1000,1300,1700,1800,1800
GET,/product/L9ECAV7KIM,2030,0,600,617.683739804438,227.12750011123717,1786.9198999833316,8004.198522167488,3.389353384755653,0.0,600,610,680,690,760,850,1100,1200,1400,1800,1800
GET,/product/OLJCESPC7Z,1967,0,590,613.3923474327582,220.04269994795322,1690.8377998042852,8035.361972547026,3.284166555573581,0.0,590,610,680,690,720,800,1000,1100,1500,1700,1700
,Aggregated,35136,0,700,727.6662560708687,86.10920002683997,3098.020500037819,10540.705288023679,58.66419730382986,0.0,700,790,810,880,990,1100,1300,1400,1800,2700,3100
