Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,17706,0,1700,1669.3718817063377,157.88190020248294,2898.2886001467705,10551.774087879814,29.570436750612632,0.0,1700,1700,1800,1800,1900,2000,2100,2200,2700,2800,2900
POST,/cart,6439,0,1900,1996.3308985712156,367.0838999096304,3705.6289999745786,17933.354402857585,10.75364521841154,0.0,1900,2100,2200,2300,2500,2700,2800,2900,3400,3700,3700
POST,/cart/checkout,3867,0,1000,1012.9812617034452,315.72850001975894,1909.2608001083136,6804.493405740885,6.458199419101946,0.0,1000,1100,1100,1100,1200,1300,1400,1400,1800,1900,1900
GET,/product/0PUK6V6EV0,2690,0,1300,1308.116024718914,306.10349983908236,2391.8490998912603,7976.808921933086,4.492515241113068,0.0,1300,1400,1400,1400,1500,1600,1800,1800,2300,2400,2400
GET,/product/1YMWWN1N4O,2521,0,1300,1304.1473704854595,117.30529996566474,2617.3702999949455,7997.129313764379,4.2102717185301275,0.0,1300,1400,1400,1400,1500,1600,1700,1800,2300,2600,2600
GET,/product/2ZYFJ3GM2N,2357,0,1300,1302.9720924064077,467.877599876374,2391.5295999031514,7992.151887993212,3.9363785960236064,0.0,1300,1400,1400,1400,1500,1600,1700,1800,2300,2400,2400
GET,/product/66VCHSJNUP,2484,0,1300,1300.4109231489313,100.49360012635589,2508.089300012216,7962.753220611916,4.148478757964632,0.0,1300,1400,1400,1400,1500,1600,1700,1800,2300,2500,2500
GET,/product/L9ECAV7KIM,2611,0,1300,1308.8523273467547,133.695799857378,2317.3350000288337,7963.515511298353,4.360578919905658,0.0,1300,1400,1400,1400,1500,1600,1700,1900,2100,2300,2300
GET,/product/OLJCESPC7Z,2517,0,1300,1301.700270124206,198.59220017679036,2618.2687000837177,7998.646007151371,4.203591398468993,0.0,1300,1400,1400,1400,1500,1600,1700,1800,2200,2600,2600
,Aggregated,43192,0,1500,1531.0978496341013,100.49360012635589,3705.6289999745786,10413.415632524542,72.1340960201322,0.0,1500,1700,1700,1800,2000,2200,2400,2600,3000,3400,3700
