Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780186220,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780186221,40,,Aggregated,0.000000,0.000000,130,180,190,190,220,260,260,260,260,260,260,11,0,130,145.470354557884,68.98640003055334,258.2060999702662,9806.454545454546
1780186222,60,,Aggregated,0.000000,0.000000,250,300,320,320,340,380,530,530,530,530,530,36,0,250,244.30461945141562,68.98640003055334,529.4027000200003,9831.472222222223
1780186223,80,,Aggregated,0.000000,0.000000,380,610,670,690,740,800,880,960,960,960,960,72,0,370,443.8498875016295,68.98640003055334,959.9728998728096,10969.0
1780186224,100,,Aggregated,6.000000,0.000000,620,700,720,750,870,900,960,990,1300,1300,1300,113,0,620,550.907852210566,68.98640003055334,1269.595499848947,10737.690265486726
1780186225,120,,Aggregated,13.333333,0.000000,700,870,960,1100,1200,1300,1400,1500,1700,1700,1700,160,0,700,719.4675431208452,68.98640003055334,1749.1318001411855,10706.0875
1780186226,140,,Aggregated,19.000000,0.000000,870,1100,1200,1200,1400,1600,1600,1700,1700,1700,1700,218,0,850,858.7734275219808,68.98640003055334,1749.1318001411855,10587.669724770642
1780186227,160,,Aggregated,22.600000,0.000000,960,1200,1300,1400,1600,1700,1700,1800,1800,1800,1800,278,0,960,975.2884546743719,68.98640003055334,1799.309500027448,10575.28417266187
1780186229,180,,Aggregated,31.142857,0.000000,1100,1300,1500,1600,1700,1800,1900,2000,2100,2100,2100,349,0,1100,1096.4492177677455,68.98640003055334,2112.030199961737,10559.06876790831
1780186230,200,,Aggregated,34.750000,0.000000,1200,1500,1700,1700,1900,2000,2100,2300,2500,2500,2500,410,0,1200,1214.0128429320346,68.98640003055334,2452.8538999147713,10569.656097560975
1780186231,200,,Aggregated,38.333333,0.000000,1300,1600,1800,1800,2100,2300,2400,2600,2800,2800,2800,460,0,1300,1313.6731045730614,68.98640003055334,2779.457800090313,10514.6
1780186232,200,,Aggregated,38.333333,0.000000,1500,1800,1900,2000,2400,2600,2800,2800,3600,3600,3600,532,0,1500,1457.3194099689968,68.98640003055334,3593.4703999664634,10617.582706766918
1780186233,200,,Aggregated,40.900000,0.000000,1600,1900,2100,2300,2500,2800,2900,3100,3600,3600,3600,598,0,1600,1574.3101974984281,68.98640003055334,3593.4703999664634,10533.672240802676
1780186234,200,,Aggregated,52.000000,0.000000,1700,2100,2300,2400,2700,2800,3100,3400,3700,3700,3700,687,0,1700,1690.2334516792757,68.98640003055334,3703.0186001211405,10549.065502183406
1780186235,200,,Aggregated,55.800000,0.000000,1800,2200,2400,2500,2700,2800,3200,3400,3700,3700,3700,747,0,1800,1750.340631597587,68.98640003055334,3703.0186001211405,10472.70281124498
1780186236,200,,Aggregated,60.400000,0.000000,1900,2300,2400,2500,2800,3000,3400,3600,4600,4600,4600,830,0,1900,1829.7172386810767,68.98640003055334,4608.445500023663,10352.414457831324
1780186237,200,,Aggregated,63.100000,0.000000,1900,2300,2500,2600,2800,3300,3600,3800,4600,4600,4600,923,0,1900,1903.7043923145827,68.98640003055334,4608.445500023663,10382.299024918742
1780186238,200,,Aggregated,65.400000,0.000000,2000,2400,2500,2600,2900,3300,3600,3800,4600,4600,4600,969,0,2000,1937.7874628543639,68.98640003055334,4608.445500023663,10468.274509803921
