Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,17535,0,1800,1852.8655238213412,150.70770005695522,7708.235400030389,10552.320958083832,29.289237557109363,0.0,1800,1900,2000,2000,2100,2200,2400,3000,6900,7700,7700
POST,/cart,6411,0,2100,2175.547749011828,96.30390000529587,3904.0790998842567,17949.46981750117,10.7084859982109,0.0,2100,2300,2400,2500,2700,2900,3100,3200,3500,3900,3900
POST,/cart/checkout,3808,0,1100,1103.074930225765,87.80890004709363,2294.9754998553544,6804.75525210084,6.360616858709578,0.0,1100,1200,1200,1200,1300,1400,1500,1600,2000,2300,2300
GET,/product/0PUK6V6EV0,2612,0,1400,1438.794563708051,267.4493999220431,2736.5882999729365,7969.049004594181,4.36290211001823,0.0,1400,1500,1500,1600,1700,1800,1900,2100,2600,2700,2700
GET,/product/1YMWWN1N4O,2502,0,1400,1429.766218185419,285.130999982357,2594.0515999682248,7985.351318944844,4.179165803700464,0.0,1400,1500,1500,1600,1700,1700,1900,2000,2400,2600,2600
GET,/product/2ZYFJ3GM2N,2318,0,1400,1434.2094385282098,584.2107001226395,2637.7816000021994,7984.0297670405525,3.871825073132564,0.0,1400,1500,1500,1600,1700,1800,1900,2000,2600,2600,2600
GET,/product/66VCHSJNUP,2497,0,1400,1424.5423028059267,178.93319996073842,2781.5425998996943,7954.600320384461,4.170814153413293,0.0,1400,1500,1500,1600,1700,1800,1900,2000,2500,2800,2800
GET,/product/L9ECAV7KIM,2595,0,1400,1439.453772329842,290.86890001781285,2618.9051000401378,7955.424662813102,4.334506499041848,0.0,1400,1500,1500,1600,1700,1800,1900,2000,2400,2600,2600
GET,/product/OLJCESPC7Z,2483,0,1400,1436.3729489738992,193.7188000883907,2687.4490999616683,7991.467176802255,4.147429532609213,0.0,1400,1500,1500,1600,1700,1800,1900,1900,2400,2700,2700
,Aggregated,42761,0,1700,1687.44476443115,87.80890004709363,7708.235400030389,10422.412244802506,71.42498358594545,0.0,1700,1800,1900,2000,2200,2400,2700,2900,6100,7700,7700
