Timestamp,Service,CPU,Memory,Latency,RPS_frontend,target_replicas,Users
2026-06-19 13:47:00,adservice,0.1018730041892607,1115824128.0,6.023464955637294,10.980243520808944,4.0,40
2026-06-19 13:47:00,cartservice,0.1562277882146703,817664000.0,9.322866757570017,10.980243520808944,4.0,40
2026-06-19 13:47:00,checkoutservice,0.0870336559611757,420626432.0,93.1434698538869,10.980243520808944,4.0,40
2026-06-19 13:47:00,currencyservice,0.2171541462228839,669483008.0,4.865832092417825,10.980243520808944,4.0,40
2026-06-19 13:47:00,emailservice,0.1184984833896175,629768192.0,10.937371979456378,10.980243520808944,4.0,40
2026-06-19 13:47:00,frontend,0.5303361610717918,459526144.0,96.51319095477388,10.980243520808944,4.0,40
2026-06-19 13:47:00,paymentservice,0.0675637270577216,554762240.0,10.937382377076148,10.980243520808944,4.0,40
2026-06-19 13:47:00,productcatalogservice,0.2891344577530425,409030656.0,4.826217826980702,10.980243520808944,4.0,40
2026-06-19 13:47:00,recommendationservice,0.2039750793918312,624549888.0,16.67391229327297,10.980243520808944,4.0,40
2026-06-19 13:47:00,shippingservice,0.0866800034967777,393998336.0,4.824851406188609,10.980243520808944,4.0,40
2026-06-19 13:47:30,adservice,0.0987738892943839,1116352512.0,5.148240823257652,10.249718824074415,4.0,40
2026-06-19 13:47:30,cartservice,0.1385120708563899,816603136.0,8.758157228024535,10.249718824074415,4.0,40
2026-06-19 13:47:30,checkoutservice,0.0764410187355843,420376576.0,92.62424541501623,10.249718824074415,4.0,40
2026-06-19 13:47:30,currencyservice,0.1974545532915478,673538048.0,4.82439857105441,10.249718824074415,4.0,40
2026-06-19 13:47:30,emailservice,0.1022387160747923,630034432.0,8.249993070428877,10.249718824074415,4.0,40
2026-06-19 13:47:30,frontend,0.4829675350894122,464801792.0,94.13215056664866,10.249718824074415,4.0,40
2026-06-19 13:47:30,paymentservice,0.058733059828084,553906176.0,7.375026306940905,10.249718824074415,4.0,40
2026-06-19 13:47:30,productcatalogservice,0.2663487782138966,407207936.0,4.804523076664989,10.249718824074415,4.0,40
2026-06-19 13:47:30,recommendationservice,0.1785265604684935,618319872.0,9.978028176888014,10.249718824074415,4.0,40
2026-06-19 13:47:30,shippingservice,0.0767941510648714,394313728.0,4.8,10.249718824074415,4.0,40
2026-06-19 13:48:00,adservice,0.0986656990322207,1112604672.0,5.402203838026314,10.503869574527126,4.0,40
2026-06-19 13:48:00,cartservice,0.1413624427911971,817958912.0,9.033725688047038,10.503869574527126,4.0,40
2026-06-19 13:48:00,checkoutservice,0.0822971767292449,420716544.0,95.45390350241584,10.503869574527126,4.0,40
2026-06-19 13:48:00,currencyservice,0.206658034830355,664010752.0,4.853912917923697,10.503869574527126,4.0,40
2026-06-19 13:48:00,emailservice,0.1068190647424949,630648832.0,7.874990303381203,10.503869574527126,4.0,40
2026-06-19 13:48:00,frontend,0.4911806804336864,462188544.0,94.54351343216192,10.503869574527126,4.0,40
2026-06-19 13:48:00,paymentservice,0.0646231767013907,556482560.0,8.249994924439626,10.503869574527126,4.0,40
